source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,ruwe
2686850313960864256,323.368588924551,-0.7987392774283647,0.010001407372337762,0.030480698,3.4451603045652655,-2.145762819455005,13.122622,13.51958,12.574088,,,1.5259082
4651641759909771392,76.53692845336691,-71.25725515966144,0.023230562055162468,0.014824029,2.199211279343793,0.02072046409892322,12.554519,13.06876,11.920954,250.6584,7.1472993,1.4296088
4651711304024801152,81.75242284598559,-71.6432620719591,-0.0018760966605052207,0.015782554,2.1701121170411537,0.36955096075411675,13.626662,14.041674,13.07437,232.57858,3.5477972,1.4010519
4651828195859897472,81.41298449281966,-71.11106756329379,0.008776115052503725,0.017475609,2.189076673309369,0.3109770296498202,14.524965,15.017527,13.87824,240.71054,4.096674,1.0330033
4652001643815346176,78.67317592727446,-70.70891119418076,-0.01339244044690944,0.01875814,2.1946915110168845,0.2323607406701927,14.973124,15.3694105,14.443116,,,0.94848496
4652055034567069056,77.77259971599186,-70.5095577507739,-0.04171024770553744,0.015832055,2.0949107845836252,0.30269425332121386,14.356473,14.821342,13.710139,229.85495,3.3854537,1.0974141
4652057852017890816,77.33393377684784,-70.45751174108987,0.017019621968168336,0.018859318,2.1350959189447596,0.0751149128365619,12.651229,13.127515,12.043355,237.71162,5.536104,1.6559186
4652177595707500544,77.49732561306968,-69.97462050480931,-0.013794490507578245,0.050459553,1.8918114743760506,0.07795639124198704,16.781088,16.945906,16.458778,,,1.023985
4654631744328130688,74.89570069240672,-71.25866318307658,-0.06493778847677276,0.037427425,2.069942458002373,-0.20953490499326272,16.510033,16.78364,15.975384,,,0.9770493
4654695997043515776,73.59909638375667,-70.90159391908139,0.07363700715453535,0.01862521,2.0330909943462303,-0.16400052232288176,12.824946,13.346353,12.207507,243.6461,6.49754,1.4856122
4654937339840486528,73.06543342415617,-70.24201218999086,0.0339628776840666,0.02037551,1.9099908821956366,-0.09409779719743035,15.210879,15.603557,14.5842285,,,0.97431165
4655093401794293760,75.35394132078045,-70.07174647416564,-0.009417634186346596,0.01432239,2.0676576550660113,0.005541185848607636,14.222063,14.680516,13.567512,268.73016,4.234263,1.179743
4655107381879225856,74.63670197372006,-70.3460323360965,0.041657849196145354,0.016551126,2.1601460235012215,-0.01882304169702816,12.987266,13.509122,12.338971,241.54807,5.139141,1.8366712
4655144146795764224,74.54500852795034,-69.94966184118881,0.04395106191158711,0.0141459545,2.0530382247077177,-0.0885552193650716,12.838867,13.398585,12.188503,268.47653,7.2158628,1.2621206
4655144838329879168,74.46272759139586,-69.95824582680729,-0.012703057178053874,0.019654263,2.001556224896857,-0.09271327337716738,13.483993,13.94975,12.850978,262.59283,2.124705,2.085292
4655176243131693696,76.69991093373247,-70.03702609321309,0.050442446930090146,0.018008748,2.2714138847046645,0.09606992217160382,12.6205225,13.151949,11.949147,240.18452,4.479402,1.5318053
4655264440239791104,74.5233427424231,-69.45430012262344,0.0011012000476231163,0.0203164,2.0464846338608322,-0.019275111753507504,13.1682005,13.755843,12.47203,250.9856,2.1133616,1.8238244
4655273549932747520,74.82281105219155,-69.23835878634534,-0.03563289617272329,0.024422346,2.0387415044126436,0.058931637081333046,15.466467,15.810469,14.882849,,,1.2493396
4655312101566701824,74.48643479233255,-68.81600398687154,-0.001794505691455301,0.015925357,1.7072761702637531,-0.13693844423866441,14.557422,15.129246,13.891437,271.9895,4.7419124,0.9983463
4655420678295534080,72.21395000537615,-69.35632292309784,0.009051633221931619,0.016448839,1.9877106341655846,-0.09960978411119754,14.508025,14.866115,13.966102,229.7538,7.233693,1.1174748
4656162058347627136,70.83688754033301,-69.22994860117552,0.014690483154412813,0.017076483,1.9503809993593848,-0.3114789198180917,14.582795,14.989657,14.048511,251.89528,7.6018176,1.0486101
4657242049390885376,84.01870611028173,-70.03208119458382,-0.06261049860074512,0.044990625,1.7252247988597205,0.6874655552562676,16.77453,17.290245,15.770501,,,1.1321088
4657274661108655104,83.88249830810615,-69.72282733904804,0.013525324751339867,0.019261582,1.7326072568022572,0.5120458605449897,14.977432,15.383066,14.389734,,,1.054143
4657656737101291392,84.34353766216145,-69.48315683202925,-0.04363120426214513,0.02093972,1.5854182324684838,0.551915155293888,14.183461,14.640768,13.534258,260.62738,5.3873363,1.8889836
4657705291679698048,84.02835040840175,-68.82037784402989,-0.013613200517544145,0.013334358,1.715710650331424,0.6345687251807977,13.974508,14.463703,13.322492,279.0524,3.0958297,1.1827934
4657941446199199104,80.10419202068303,-70.1857604690061,-0.0029435545932881557,0.018346319,1.9478188970956223,0.2673929270481797,14.633453,14.727363,14.42253,,,0.88829195
4657984017932353024,80.78214182657595,-69.56387551019148,0.2990553362652973,0.097532034,2.245870870733519,-0.4963499563866596,16.660608,16.577904,15.777796,,,2.317543
4658083077041868544,80.47891974572248,-69.36398796620384,-0.009449792131528075,0.022083387,1.8110513527306384,0.5595238586191199,15.064864,15.340144,14.52538,,,1.0530183
4658139903754687616,79.86023242433335,-69.86419260608339,-0.00445653284039272,0.028995868,2.1461579489236438,0.2790548985486673,15.719517,15.987593,15.166069,,,0.953209
4658159420017062144,79.08936580285686,-69.61646795373528,-0.034212320102734325,0.100388534,1.5575147249604604,0.08672971179553968,18.019646,18.031265,17.619322,,,1.1133132
4658243468308669056,78.19600271619763,-69.10246616747821,-0.04100900598332984,0.017991727,2.0140591008824535,0.18424670996385434,14.709146,15.049881,14.182957,261.81766,8.537162,0.9094483
4658325789850642048,79.8771256856565,-68.6860324589278,0.027171507343883003,0.011593145,1.8027666068591321,0.36084813764204055,11.760954,12.352747,11.018024,284.3599,3.88349,0.74208766
